Instance,Terminal,Layer,X location,Y location,Voltage
input13,VPWR,li1,7.5900,13.6000,1.799996
input12,VPWR,li1,8.0500,35.3600,1.799974
input11,VPWR,li1,11.2700,35.3600,1.799974
input10,VPWR,li1,9.8900,35.3600,1.799974
input9,VPWR,li1,8.5100,35.3600,1.799974
input8,VPWR,li1,7.5900,29.9200,1.799985
input7,VPWR,li1,12.1900,35.3600,1.799975
input6,VPWR,li1,14.0300,35.3600,1.799975
input5,VPWR,li1,10.8100,35.3600,1.799974
input4,VPWR,li1,12.6500,35.3600,1.799975
input3,VPWR,li1,9.4300,35.3600,1.799974
input2,VPWR,li1,42.0900,13.6000,1.799995
input1,VPWR,li1,40.7100,13.6000,1.799995
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799962
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799976
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799976
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799977
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799986
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799999
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.800000
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.800000
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.800000
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799995
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799995
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799997
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799974
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799974
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799985
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799985
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.800000
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.800000
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.800000
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.800000
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799996
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799996
PHY_EDGE_ROW_9_Right_9,VPWR,li1,43.4700,35.3600,1.799954
PHY_EDGE_ROW_8_Right_8,VPWR,li1,43.4700,35.3600,1.799954
PHY_EDGE_ROW_7_Right_7,VPWR,li1,43.4700,29.9200,1.799974
PHY_EDGE_ROW_6_Right_6,VPWR,li1,43.4700,29.9200,1.799974
PHY_EDGE_ROW_5_Right_5,VPWR,li1,43.4700,24.4800,1.799999
PHY_EDGE_ROW_4_Right_4,VPWR,li1,43.4700,24.4800,1.799999
PHY_EDGE_ROW_3_Right_3,VPWR,li1,43.4700,19.0400,1.800000
PHY_EDGE_ROW_2_Right_2,VPWR,li1,43.4700,19.0400,1.800000
PHY_EDGE_ROW_1_Right_1,VPWR,li1,43.4700,13.6000,1.799995
PHY_EDGE_ROW_0_Right_0,VPWR,li1,43.4700,13.6000,1.799995
_27_,VPWR,li1,16.5600,29.9200,1.799986
_26_,VPWR,li1,23.0000,35.3600,1.799973
_25_,VPWR,li1,20.2400,35.3600,1.799978
