Instance,Terminal,Layer,X location,Y location,Voltage
input9,VGND,li1,8.5100,32.6400,0.000030
input8,VGND,li1,7.5900,32.6400,0.000030
input7,VGND,li1,12.1900,38.0800,0.000012
input6,VGND,li1,14.0300,32.6400,0.000029
input5,VGND,li1,10.8100,38.0800,0.000012
input4,VGND,li1,12.6500,32.6400,0.000030
input3,VGND,li1,9.4300,38.0800,0.000012
input2,VGND,li1,42.0900,10.8800,0.000005
input1,VGND,li1,40.7100,10.8800,0.000005
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000013
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000011
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000028
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000032
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000006
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000008
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000000
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000000
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000000
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000000
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000004
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000004
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000012
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000030
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000030
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000006
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000006
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000000
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000000
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000000
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000000
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000005
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000017
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000039
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000039
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000010
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000010
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000000
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000000
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000000
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000000
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000005
_27_,VGND,li1,16.5600,32.6400,0.000029
_26_,VGND,li1,23.0000,38.0800,0.000010
_25_,VGND,li1,20.2400,38.0800,0.000010
_24_,VGND,li1,17.0200,38.0800,0.000011
_23_,VGND,li1,20.2400,32.6400,0.000028
_22_,VGND,li1,14.2600,38.0800,0.000011
_21_,VGND,li1,19.0900,32.6400,0.000028
_20_,VGND,li1,29.4400,32.6400,0.000030
_19_,VGND,li1,33.8100,32.6400,0.000035
_18_,VGND,li1,33.3500,38.0800,0.000014
_17_,VGND,li1,30.5900,32.6400,0.000030
_16_,VGND,li1,29.6700,38.0800,0.000012
_15_,VGND,li1,26.4500,38.0800,0.000009
_14_,VGND,li1,27.3700,32.6400,0.000026
_13_,VGND,li1,37.9500,32.6400,0.000038
_12_,VGND,li1,38.8700,27.2000,0.000010
_11_,VGND,li1,41.1700,27.2000,0.000010
_10_,VGND,li1,36.1100,27.2000,0.000009
_09_,VGND,li1,36.5700,27.2000,0.000009
_08_,VGND,li1,34.2700,27.2000,0.000009
_07_,VGND,li1,29.6700,27.2000,0.000008
_06_,VGND,li1,22.7700,27.2000,0.000006
_05_,VGND,li1,24.1500,27.2000,0.000006
