Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_3,VPWR,li1,9.6600,285.6000,1.800000
FILLER_100_841,VPWR,li1,392.6100,285.6000,1.800000
FILLER_100_837,VPWR,li1,391.4600,285.6000,1.800000
FILLER_100_825,VPWR,li1,387.7800,285.6000,1.800000
FILLER_100_813,VPWR,li1,382.2600,285.6000,1.800000
FILLER_100_811,VPWR,li1,378.8100,285.6000,1.800000
FILLER_100_805,VPWR,li1,377.2000,285.6000,1.800000
FILLER_100_793,VPWR,li1,373.0600,285.6000,1.800000
FILLER_100_781,VPWR,li1,367.5400,285.6000,1.800000
FILLER_100_769,VPWR,li1,362.0200,285.6000,1.800000
FILLER_100_757,VPWR,li1,356.5000,285.6000,1.800000
FILLER_100_755,VPWR,li1,353.0500,285.6000,1.800000
FILLER_100_749,VPWR,li1,351.4400,285.6000,1.800000
FILLER_100_737,VPWR,li1,347.3000,285.6000,1.800000
FILLER_100_725,VPWR,li1,341.7800,285.6000,1.800000
FILLER_100_713,VPWR,li1,336.2600,285.6000,1.800000
FILLER_100_701,VPWR,li1,330.7400,285.6000,1.800000
FILLER_100_699,VPWR,li1,327.2900,285.6000,1.800000
FILLER_100_693,VPWR,li1,325.6800,285.6000,1.800000
FILLER_100_681,VPWR,li1,321.5400,285.6000,1.800000
FILLER_100_669,VPWR,li1,316.0200,285.6000,1.800000
FILLER_100_657,VPWR,li1,310.5000,285.6000,1.800000
FILLER_100_645,VPWR,li1,304.9800,285.6000,1.800000
FILLER_100_643,VPWR,li1,301.5300,285.6000,1.800000
FILLER_100_637,VPWR,li1,299.9200,285.6000,1.800000
FILLER_100_625,VPWR,li1,295.7800,285.6000,1.800000
FILLER_100_613,VPWR,li1,290.2600,285.6000,1.800000
FILLER_100_601,VPWR,li1,284.7400,285.6000,1.800000
FILLER_100_589,VPWR,li1,279.2200,285.6000,1.800000
FILLER_100_587,VPWR,li1,275.7700,285.6000,1.800000
FILLER_100_581,VPWR,li1,274.1600,285.6000,1.800000
FILLER_100_569,VPWR,li1,270.0200,285.6000,1.800000
FILLER_100_557,VPWR,li1,264.5000,285.6000,1.800000
FILLER_100_545,VPWR,li1,258.9800,285.6000,1.800000
FILLER_100_533,VPWR,li1,253.4600,285.6000,1.800000
FILLER_100_531,VPWR,li1,250.0100,285.6000,1.800000
FILLER_100_525,VPWR,li1,248.4000,285.6000,1.800000
FILLER_100_513,VPWR,li1,244.2600,285.6000,1.800000
FILLER_100_501,VPWR,li1,238.7400,285.6000,1.800000
FILLER_100_489,VPWR,li1,233.2200,285.6000,1.800000
FILLER_100_477,VPWR,li1,227.7000,285.6000,1.800000
FILLER_100_475,VPWR,li1,224.2500,285.6000,1.800000
FILLER_100_469,VPWR,li1,222.6400,285.6000,1.800000
FILLER_100_457,VPWR,li1,218.5000,285.6000,1.800000
FILLER_100_445,VPWR,li1,212.9800,285.6000,1.800000
FILLER_100_433,VPWR,li1,207.4600,285.6000,1.800000
FILLER_100_421,VPWR,li1,201.9400,285.6000,1.800000
FILLER_100_419,VPWR,li1,198.4900,285.6000,1.800000
FILLER_100_413,VPWR,li1,196.8800,285.6000,1.800000
FILLER_100_401,VPWR,li1,192.7400,285.6000,1.800000
FILLER_100_389,VPWR,li1,187.2200,285.6000,1.800000
FILLER_100_377,VPWR,li1,181.7000,285.6000,1.800000
FILLER_100_365,VPWR,li1,176.1800,285.6000,1.800000
FILLER_100_363,VPWR,li1,172.7300,285.6000,1.800000
FILLER_100_357,VPWR,li1,171.1200,285.6000,1.800000
FILLER_100_345,VPWR,li1,166.9800,285.6000,1.800000
FILLER_100_333,VPWR,li1,161.4600,285.6000,1.800000
FILLER_100_321,VPWR,li1,155.9400,285.6000,1.800000
FILLER_100_309,VPWR,li1,150.4200,285.6000,1.800000
FILLER_100_307,VPWR,li1,146.9700,285.6000,1.800000
FILLER_100_301,VPWR,li1,145.3600,285.6000,1.800000
FILLER_100_289,VPWR,li1,141.2200,285.6000,1.800000
FILLER_100_277,VPWR,li1,135.7000,285.6000,1.800000
FILLER_100_265,VPWR,li1,130.1800,285.6000,1.800000
FILLER_100_253,VPWR,li1,124.6600,285.6000,1.800000
FILLER_100_251,VPWR,li1,121.2100,285.6000,1.800000
FILLER_100_245,VPWR,li1,119.6000,285.6000,1.800000
FILLER_100_233,VPWR,li1,115.4600,285.6000,1.800000
FILLER_100_221,VPWR,li1,109.9400,285.6000,1.800000
FILLER_100_209,VPWR,li1,104.4200,285.6000,1.800000
FILLER_100_197,VPWR,li1,98.9000,285.6000,1.800000
FILLER_100_195,VPWR,li1,95.4500,285.6000,1.800000
FILLER_100_189,VPWR,li1,93.8400,285.6000,1.800000
FILLER_100_177,VPWR,li1,89.7000,285.6000,1.800000
FILLER_100_165,VPWR,li1,84.1800,285.6000,1.800000
FILLER_100_153,VPWR,li1,78.6600,285.6000,1.800000
FILLER_100_141,VPWR,li1,73.1400,285.6000,1.800000
FILLER_100_139,VPWR,li1,69.6900,285.6000,1.800000
FILLER_100_133,VPWR,li1,68.0800,285.6000,1.800000
FILLER_100_121,VPWR,li1,63.9400,285.6000,1.800000
FILLER_100_109,VPWR,li1,58.4200,285.6000,1.800000
FILLER_100_97,VPWR,li1,52.9000,285.6000,1.800000
FILLER_100_85,VPWR,li1,47.3800,285.6000,1.800000
FILLER_100_83,VPWR,li1,43.9300,285.6000,1.800000
FILLER_100_77,VPWR,li1,42.3200,285.6000,1.800000
FILLER_100_65,VPWR,li1,38.1800,285.6000,1.800000
FILLER_100_53,VPWR,li1,32.6600,285.6000,1.800000
FILLER_100_41,VPWR,li1,27.1400,285.6000,1.800000
FILLER_100_29,VPWR,li1,21.6200,285.6000,1.800000
FILLER_100_27,VPWR,li1,18.1700,285.6000,1.800000
FILLER_100_15,VPWR,li1,15.1800,285.6000,1.800000
FILLER_100_3,VPWR,li1,9.6600,285.6000,1.800000
FILLER_99_841,VPWR,li1,392.6100,280.1600,1.800000
FILLER_99_839,VPWR,li1,391.6900,280.1600,1.800000
FILLER_99_833,VPWR,li1,390.0800,280.1600,1.800000
FILLER_99_821,VPWR,li1,385.9400,280.1600,1.800000
FILLER_99_809,VPWR,li1,380.4200,280.1600,1.800000
FILLER_99_797,VPWR,li1,374.9000,280.1600,1.800000
FILLER_99_785,VPWR,li1,369.3800,280.1600,1.800000
FILLER_99_783,VPWR,li1,365.9300,280.1600,1.800000
FILLER_99_777,VPWR,li1,364.3200,280.1600,1.800000
FILLER_99_765,VPWR,li1,360.1800,280.1600,1.800000
FILLER_99_753,VPWR,li1,354.6600,280.1600,1.800000
FILLER_99_741,VPWR,li1,349.1400,280.1600,1.800000
FILLER_99_729,VPWR,li1,343.6200,280.1600,1.800000
FILLER_99_727,VPWR,li1,340.1700,280.1600,1.800000
FILLER_99_721,VPWR,li1,338.5600,280.1600,1.800000
FILLER_99_709,VPWR,li1,334.4200,280.1600,1.800000
FILLER_99_697,VPWR,li1,328.9000,280.1600,1.800000
FILLER_99_685,VPWR,li1,323.3800,280.1600,1.800000
FILLER_99_673,VPWR,li1,317.8600,280.1600,1.800000
FILLER_99_671,VPWR,li1,314.4100,280.1600,1.800000
FILLER_99_665,VPWR,li1,312.8000,280.1600,1.800000
