net,length_um
net1,53.92µm
net9,42.52µm
net8,37.64µm
net4,18.22µm
month[3],17.9µm
am_pm,16.06µm
net3,14.54µm
net5,14.36µm
net2,13.16µm
_01_,12.16µm
month[0],11.46µm
net17,11.44µm
hour_num[4],11.26µm
month[1],11µm
day_num[0],10.8µm
month[2],10.54µm
year[0],10.54µm
year[1],10.08µm
hour_num[2],8.96µm
net13,8.72µm
net12,8.72µm
day_num[1],8.5µm
net15,8.5µm
net16,8.04µm
net14,8.04µm
net6,8.04µm
_03_,7.1µm
net7,3.1µm
net11,1.84µm
net10,1.6µm
_00_,1.38µm
_02_,0.92µm
