net,length_um
_054_,7.98µm
_169_,7.61µm
net81,7.52µm
net34,7.28µm
_143_,7.24µm
_182_,7.2µm
_194_,7.18µm
_038_,7.12µm
_022_,7.1µm
_049_,7.1µm
_077_,7.08µm
_189_,6.98µm
_056_,6.78µm
year[0],6.77µm
_028_,6.76µm
day[3],6.69µm
_130_,6.66µm
month[0],6.57µm
net56,6.52µm
_146_,6.36µm
_042_,6.32µm
_030_,6.31µm
_173_,6.31µm
_006_,6.28µm
_180_,6.28µm
net94,6.24µm
month[2],6.23µm
_002_,6.225µm
_023_,6.18µm
net96,6.18µm
_068_,6.14µm
net80,6.14µm
_121_,5.96µm
_071_,5.94µm
net111,5.84µm
hour[2],5.75µm
_007_,5.73µm
_067_,5.72µm
_172_,5.68µm
net54,5.68µm
_074_,5.64µm
net99,5.48µm
day[4],5.41µm
_072_,5.38µm
net78,5.34µm
_109_,5.26µm
net102,5.26µm
net76,5.16µm
net45,5.14µm
month[1],5.07µm
_176_,5.06µm
_064_,5.04µm
net39,4.92µm
_060_,4.9µm
net82,4.88µm
_033_,4.86µm
net73,4.82µm
net75,4.82µm
_032_,4.8µm
_129_,4.8µm
_078_,4.76µm
_055_,4.68µm
_125_,4.52µm
net65,4.48µm
net104,4.48µm
net36,4.42µm
net95,4.42µm
hour[1],4.39µm
minute[2],4.39µm
second[2],4.39µm
year[2],4.39µm
net90,4.36µm
_092_,4.35µm
net106,4.34µm
net97,4.22µm
_044_,4.14µm
_099_,4.1µm
_066_,4µm
net79,3.9µm
_069_,3.885µm
_025_,3.88µm
_128_,3.88µm
net35,3.88µm
_005_,3.64µm
_137_,3.56µm
_034_,3.42µm
_045_,3.42µm
_145_,3.42µm
_167_,3.42µm
_184_,3.42µm
net71,3.42µm
net112,3.315µm
_097_,3.08µm
_190_,3.03µm
net58,2.96µm
net100,2.96µm
_052_,2.84µm
_026_,2.76µm
net83,2.64µm
_035_,2.62µm
net44,2.5µm
net48,2.5µm
net57,2.5µm
net103,2.5µm
net109,2.5µm
_019_,2.4µm
_040_,2.3µm
_156_,2.16µm
_001_,2.04µm
_012_,2.04µm
net43,2.04µm
net52,2.04µm
net108,2.04µm
_057_,1.7µm
net66,1.7µm
_015_,1.14µm
net53,1.14µm
net41,0.8µm
_122_,0.46µm
net110,0.46µm
